# DPPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/S0006-3495(99)77143-2
40.98314606741573, 69.52130956993412
41.82584269662921, 66.26472297559084
42.52808988764045, 63.12848702053466
43.08988764044944, 60.11260170476558
43.651685393258425, 56.976026733824085
44.07303370786517, 53.71842309182486
44.353932584269664, 50.46048043394032
44.91573033707866, 47.20321580782641
45.337078651685395, 44.307681131344424
45.89887640449439, 40.446968229368444
46.32022471910113, 37.31005424254164
46.88202247191011, 33.57003099573807
47.443820224719104, 29.347249128244854
48.28651685393258, 25.96997287872916
49.12921348314607, 22.230627663696232
49.8314606741573, 19.33577101898487
51.79775280898877, 16.20258620689654
53.62359550561798, 14.034579620302203
57.556179775280896, 12.837175513366901
61.48876404494382, 12.605288647810916
65.42134831460675, 11.89064316156528
70.6179775280899, 10.454910887253
75.25280898876404, 7.569546687330472
79.88764044943821, 5.046251452925219
85.64606741573034, 3.129116621464547
91.26404494382022, 0.7288841534289077
