# POPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.bpj.2012.06.017
27.140161440410324, 44.0751392186562
29.653114048708822, 43.72578529057367
32.16583893135182, 43.492457583961745
34.36475786073382, 43.14326306383805
37.19197187360431, 42.67772350632608
40.01804725819735, 42.79231505616711
43.15906722432886, 42.442642312166896
45.67179210697186, 42.20931460555497
48.4996892968088, 41.3956963836312
50.699291403157254, 40.6984231990957
52.58645391017762, 39.18912587222485
53.846232236331424, 37.332068696859864
54.79174915791324, 35.59119715092432
55.73749380515054, 33.734299383518184
57.31198898718731, 31.529004135782557
58.25727818311365, 29.90415881131762
59.20302283035095, 28.04726104391149
60.77706256107674, 26.07401823911706
62.66581914768552, 23.752537361951994
64.55480345994977, 21.31503026331633
66.12861546502009, 19.457813679992512
68.01691660031787, 17.36838524576865
69.9045345586492, 15.627035475956575
72.4206753261245, 13.653314447285638
74.30761010748938, 12.260043341885364
76.19477261450973, 10.750746015014528
78.39551334913563, 9.473341723126026
81.22477689290548, 7.963566172378634
83.73977903210337, 6.569976251060709
86.56835939890678, 5.408279364725132
90.96824678857013, 3.6656543312423366
95.99597381041102, 2.038736703312466
100.39449484614147, 0.9922689986532873
104.47807130033345, 0.41006558783534786
108.56073685190347, 0.2919670628998148
113.58527571456756, 0.28941653555835956
119.5519156139811, 0.28638778434037704
123.94838711881215, 0.28415607291660194
128.65889230255974, 0.2817649535339939
133.0553638073908, 0.2795332421102188
137.45183531222185, 0.2773015306864437
141.2202394592199, 0.27538863518036294
