# DOPS surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.chemphyslip.2017.08.001
46.22240064231238, 46.17021276595743
49.258530710558034, 42.553191489361694
50.59293456443197, 38.29787234042552
52.94500200722604, 33.82978723404254
54.964672822159855, 30.63829787234041
56.64472099558412, 27.446808510638284
58.66318747490976, 24.042553191489354
61.36089923725416, 20.638297872340416
64.05861099959861, 17.23404255319148
66.75873143315943, 14.25531914893616
69.79967884383785, 11.489361702127653
74.19670814933767, 8.297872340425528
78.25893215576076, 5.957446808510625
82.66198313930153, 3.8297872340425414
86.72541148133286, 1.702127659574458
90.79486150140508, 0.6382978723404165
95.8867924528302, 0.21276595744679128
