# DOPS surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.colsurfb.2013.01.041
46.590538336052205, 44.90909090909091
53.05057096247961, 41.72727272727273
55.595432300163125, 37.90909090909091
57.55301794453507, 34.36363636363636
59.31484502446982, 30.363636363636363
61.66394779771615, 26.09090909090909
64.40456769983687, 22.636363636363633
65.97063621533442, 19.454545454545453
68.90701468189233, 16.090909090909086
72.82218597063623, 11.999999999999993
78.10766721044047, 8.18181818181818
83.78466557911908, 4.9090909090909065
87.89559543230017, 3.18181818181818
92.78955954323001, 1.1818181818181799
98.46655791190865, 0.27272727272726627
106.10114192495922, 0.27272727272726627
112.56117455138663, 0.27272727272726627
119.41272430668842, 0.27272727272726627
