# DPPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1021/la063053o
39.53333333333333, 45.60081877729256
41.42916666666666, 45.45077783842793
42.041666666666664, 43.68135917030566
43.9375, 40.92760644104803
43.38333333333334, 37.36670305676854
43.96666666666667, 34.9586790393013
44.6375, 31.494309497816584
45.25, 28.07914847161571
45.30833333333334, 26.50701419213973
45.833333333333336, 25.032478165938855
46.53333333333334, 21.69088427947597
47.17500000000001, 20.314437772925753
47.7, 18.44688864628821
48.16666666666666, 16.30922489082969
49.10000000000001, 14.83411572052401
49.56666666666666, 14.121124454148465
50.03333333333333, 13.53094978165938
50.5, 13.039028384279476
51.900000000000006, 12.20191048034934
53.18333333333334, 11.954475982532742
54.233333333333334, 11.756495633187768
55.16666666666667, 11.263919213973793
55.75, 11.557860262008724
58.462500000000006, 11.185603165938858
59.366666666666674, 11.356277292576415
60.06666666666668, 11.257041484716147
61.55416666666666, 11.328643558951953
63.12916666666668, 11.989642467248906
63.625, 10.908160480349338
64.73333333333333, 11.54525109170305
66.42500000000001, 11.125300218340605
66.5125, 10.142644650655015
68.0875, 11.024713427947589
68.23333333333333, 10.361299126637547
70.10000000000002, 9.523526200873356
71.15, 9.178165938864623
74.62083333333334, 7.674931768558949
78.38333333333334, 5.827401746724881
82.55416666666667, 4.298621724890829
87.22083333333335, 2.7445824235807876
92.38333333333334, 1.5091703056768608
99.5, 0.19732532751090304
