# DMPS surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1134/S0021364019050060
29.333754886180742, 63.44868552157584
31.237065992182117, 63.27125009580746
32.76557829386067, 61.280370966505714
33.534145780639236, 58.9254234689967
34.49528627270638, 55.845788303824634
35.26212922510923, 54.03464397945888
36.0306967118878, 51.679696481949875
36.42216601517591, 48.236376178431826
37.38330650724305, 45.15674101325975
37.96217521269258, 42.620142561508395
38.92274085996782, 39.72177512071741
39.3119107840883, 37.003525714723686
40.27190158657163, 34.28642599831379
41.61416417567257, 31.02628956848318
42.95642676477352, 27.766153138652562
44.106116348585886, 25.230704376485015
45.4460795585192, 22.69563884417874
47.54886180731202, 19.61830305817429
50.219015865716266, 17.629723308040163
53.269717176362384, 15.641910017628575
57.07806392274086, 14.74323599294857
61.07783398482411, 13.482409749367676
65.45700160956542, 12.584885414271483
69.64474591860198, 12.049513298076178
73.45194297539663, 11.513374722158346
77.26143941135894, 10.252165248716182
80.68981375028743, 9.171457039932562
84.49988503104161, 7.728979842109311
88.68935387445389, 6.64980455277076
92.30742699471142, 5.75074729822947
95.54552770751896, 4.66965585958458
99.54414808001839, 3.7713650647658454
103.35191998160496, 3.053958764466927
107.3505403541044, 2.1556679696482064
111.72740859967807, 1.983214532076346
115.91572775350654, 1.2665746914999545
119.91319843642216, 0.7308193454434075
124.86088756035872, 0.5595155974553592
