# XRR profile for DPPE monolayer. Qz in Å⁻1, R/Rf adimensional. λ=1.304 Å. From 10.1529/biophysj.107.128538
0.028152492668621715, 1.1161202322038188
0.04046920821114369, 1.1678404470236095
0.0527859237536657, 1.2616675500673022
0.06686217008797654, 1.3984600002212622
0.07917888563049855, 1.4726527693268243
0.09325513196480939, 1.4735369468853796
0.10205278592375366, 1.4740898274157337
0.11260997067448683, 1.3657968893323498
0.11788856304985337, 1.3661043397242858
0.13020527859237538, 1.2026974848152665
0.1372434017595308, 1.1141749885575714
0.1442815249266862, 1.0321680395947113
0.1495601173020528, 0.9319738237989353
0.15307917888563047, 0.8201878411554008
0.15791788856304986, 0.7695292901337025
0.1618768328445748, 0.6859594896405773
0.16583577712609968, 0.6036931204830813
0.17111436950146627, 0.5416163377379497
0.1741935483870968, 0.4675842663152571
0.17947214076246334, 0.4115305544940988
0.18299120234604108, 0.335411820847621
0.1847507331378299, 0.3028074136040308
0.18826979472140762, 0.28047770051643306
0.1917888563049853, 0.22859915311274784
0.1970674486803519, 0.1770358651841442
0.20762463343108503, 0.08542600454871538
0.21862170087976537, 0.05026181743329472
0.23049853372434018, 0.059006869441074895
0.2397360703812317, 0.1097787001284575
0.25161290322580643, 0.19783065138438788
0.26260997067448677, 0.3259596907003807
0.27228739002932556, 0.4725570205104258
0.2832844574780059, 0.5951930741909611
0.29428152492668613, 0.7544653452586181
0.306158357771261, 0.8689011032453796
0.3167155425219941, 0.9879191583488881
0.32727272727272727, 1.067210880588416
0.33870967741935476, 1.1827868410659792
0.34926686217008795, 1.0889072177452352
0.35894428152492663, 1.1247577048503854
0.37126099706744864, 1.042206388228124
0.38181818181818183, 0.9656414531940367
0.3923753665689149, 0.8610163617673041
0.4038123167155425, 0.693072640772534
0.41480938416422286, 0.5437845310671923
0.42624633431085035, 0.4433531062769944
0.4346041055718475, 0.33046597539154265
0.4464809384164222, 0.23257815175360302
0.45747800586510257, 0.14775777481025304
0.46891495601173017, 0.08862166706134642
0.47947214076246325, 0.04798094000101913
0.5014662756598239, 0.008485907101222379
0.5239002932551319, 0.018535427486727953
0.5450146627565982, 0.0457151638014044
0.5656891495601172, 0.08898811963024532
0.5885630498533724, 0.10586578464524074
0.6096774193548387, 0.09939598681301985
0.6334310850439882, 0.09155827913275819
0.6527859237536657, 0.06655292621973904
0.6756598240469208, 0.020273282843905036
